City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mahebourg,MU,80.6,light rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
1,Khurda,IN,82.4,haze,20.18,85.62,Bagbaan Villa
4,Hobyo,SO,82.96,overcast clouds,5.35,48.53,Halane Hotel and Restaurent
5,Puerto Baquerizo Moreno,EC,78.8,broken clouds,-0.9,-89.6,Hotel los Algarrobos
6,Port Blair,IN,82.44,overcast clouds,11.67,92.75,Welcomhotel Bay Island Port Blair
14,Saint-Philippe,RE,80.6,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
23,Touros,BR,87.8,broken clouds,-5.2,-35.46,INN NEW HORIZON
26,Rikitea,PF,78.42,clear sky,-23.12,-134.97,Pension Maro'i
28,Castro,BR,79.48,clear sky,-24.79,-50.01,CHACARA BAILLY
29,Atuona,PF,80.44,scattered clouds,-9.8,-139.03,Villa Enata
38,Puerto Ayora,EC,80.6,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
40,Teofilo Otoni,BR,84.92,few clouds,-17.86,-41.51,Hotel Nobre Palace
42,Bheramara,BD,87.19,scattered clouds,24.02,88.99,PROTAB HEAR DRESER
43,Boa Vista,BR,78.8,light rain,2.82,-60.67,Aipana Plaza Hotel
46,Georgetown,MY,82.0,few clouds,5.41,100.34,Cititel Penang
47,Hithadhoo,MV,83.95,broken clouds,-0.6,73.08,Scoop Guest House
50,Veraval,IN,80.56,clear sky,20.9,70.37,Lords Inn Somnath
52,Cockburn Town,TC,78.8,scattered clouds,21.46,-71.14,Osprey Beach Hotel
56,Mtambile,TZ,80.1,broken clouds,-5.38,39.7,
57,Mayo,US,75.99,few clouds,38.89,-76.51,Resorts Resource Group International
60,Carnarvon,AU,77.0,broken clouds,-24.87,113.63,Hospitality Carnarvon
62,Tura,IN,79.25,scattered clouds,25.52,90.22,Hotel RIKMAN Continental
65,Morant Bay,JM,84.2,scattered clouds,17.88,-76.41,Whispering Bamboo Cove Resort
67,Kavaratti,IN,83.89,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
71,Cabo San Lucas,MX,75.0,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
73,Butaritari,KI,81.12,broken clouds,3.07,172.79,Isles Sunset Lodge
76,Altamira,BR,86.0,broken clouds,-3.2,-52.21,Requinte Hotel
77,Sao Filipe,CV,76.59,clear sky,14.9,-24.5,Tortuga B&B
82,Bengkulu,ID,76.17,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
86,Thinadhoo,MV,83.57,scattered clouds,0.53,72.93,
91,Marrakesh,MA,80.6,scattered clouds,31.63,-8.01,Novotel Marrakech Hivernage
97,Manokwari,ID,78.51,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
99,Galle,LK,80.67,broken clouds,6.04,80.22,Amangalla
100,San Andres,CO,86.0,scattered clouds,12.58,-81.7,Hotel Arena Blanca
101,Geraldton,AU,75.2,overcast clouds,-28.77,114.6,Broadwater Mariner Resort
102,Pitimbu,BR,75.2,heavy intensity rain,-7.47,-34.81,Reserva do Abiaí
105,Kloulklubed,PW,78.8,moderate rain,7.04,134.26,Storyboard Beach Resort
111,Salvador,SV,87.8,few clouds,13.83,-88.92,Chico's Ranch
112,Sabha,LY,86.54,broken clouds,27.04,14.43,محطة ام الارانب -سبها مواصلات
123,Sola,VU,79.84,overcast clouds,-13.88,167.55,Ulkel Guest House
136,Arraial Do Cabo,BR,89.6,clear sky,-22.97,-42.03,Pousada Porto Praia
138,Gorontalo,ID,75.76,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
144,Nalut,LY,88.14,overcast clouds,30.33,10.85,
149,Faanui,PF,81.3,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
152,The Valley,AI,84.2,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
155,Itacurubi Del Rosario,PY,88.61,scattered clouds,-24.5,-56.68,Estancia Rodeo Tajy
158,Noumea,NC,79.0,overcast clouds,-22.28,166.46,Hôtel Le Lagon
162,Salalah,OM,82.4,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL SALALAH
165,Korampallam,IN,84.27,clear sky,8.77,78.1,Regency Tuticorin by GRT Hotels
166,Weligama,LK,79.68,broken clouds,5.97,80.42,Weligama Bay Resort
168,Avarua,CK,75.2,light rain,-21.21,-159.78,Paradise Inn
169,Mabaruma,GY,82.78,overcast clouds,8.2,-59.78,
170,Odweyne,SO,81.34,scattered clouds,9.41,45.06,Eng Hiirey House
171,Lalmohan,BD,81.34,few clouds,22.34,90.74,Sundorbon courier service
172,Trat,TH,78.01,broken clouds,12.5,102.5,สวนหนิง-อัศ
174,Sur,OM,83.19,clear sky,22.57,59.53,Sur Plaza Hotel
176,Sao Joao Da Barra,BR,86.0,few clouds,-21.64,-41.05,Pousada Porto De Canoas
184,Cayenne,GF,87.8,clear sky,4.93,-52.33,Hôtel Le Dronmi
185,Auki,SB,76.98,overcast clouds,-8.77,160.7,Auki Motel
186,Luanda,AO,84.2,light rain,-8.84,13.23,Forum GestHotel
192,Kyaukse,MM,86.0,few clouds,21.6,96.13,Tein Phyu Hlwar
199,Belmonte,BR,82.4,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
200,Andros Town,BS,80.6,scattered clouds,24.7,-77.77,Hanks place
201,Acajutla,SV,86.0,few clouds,13.59,-89.83,Urbanización Brisas de Acajutla II
202,Sembe,CG,75.22,light rain,1.65,14.58,
203,Kavieng,PG,79.45,light rain,-2.57,150.8,Nusa Island Retreat
206,Kot Samaba,PK,88.57,clear sky,28.55,70.47,بوٹا شاہین کمبوہ
208,Ndele,CF,89.2,overcast clouds,8.41,20.65,
213,Caravelas,BR,83.35,broken clouds,-17.71,-39.25,Pousada dos Navegantes
