City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mahebourg,MU,-20.41,57.70,80.6,78,40,6.91,light rain
1,Khurda,IN,20.18,85.62,82.4,83,20,6.91,haze
2,Kushmurun,KZ,52.45,64.63,29.77,94,92,4.0,overcast clouds
3,Yatou,CN,37.15,122.38,49.5,84,100,8.3,light rain
4,Hobyo,SO,5.35,48.53,82.96,64,94,10.58,overcast clouds
5,Puerto Baquerizo Moreno,EC,-0.90,-89.60,78.8,83,75,4.61,broken clouds
6,Port Blair,IN,11.67,92.75,82.44,75,99,4.27,overcast clouds
7,Ribeira Grande,PT,38.52,-28.70,62.6,100,75,3.44,broken clouds
8,Taihe,CN,30.87,105.38,54.9,92,100,2.98,overcast clouds
9,Thompson,CA,55.74,-97.86,21.2,79,90,10.36,overcast clouds
10,Aswan,EG,24.09,32.91,74.46,9,0,11.86,clear sky
11,New Norfolk,AU,-42.78,147.06,46.99,75,81,1.99,broken clouds
12,Shache,CN,38.42,77.24,60.13,22,3,7.31,clear sky
13,Ostrovnoy,RU,68.05,39.51,34.63,81,54,27.67,broken clouds
14,Saint-Philippe,RE,-21.36,55.77,80.6,78,75,2.3,broken clouds
15,Albany,US,42.60,-73.97,72.0,63,90,5.75,overcast clouds
16,Novyy Urengoy,RU,66.08,76.63,31.77,98,100,17.13,snow
17,Bluff,NZ,-46.60,168.33,48.0,97,54,1.99,broken clouds
18,Lavrentiya,RU,65.58,-171.00,4.32,62,100,30.78,overcast clouds
19,Busselton,AU,-33.65,115.33,61.0,97,100,8.97,overcast clouds
20,Provideniya,RU,64.38,-173.30,8.85,85,100,24.43,light snow
21,Devrek,TR,41.22,31.96,39.69,99,100,2.68,light rain
22,Ushuaia,AR,-54.80,-68.30,48.2,66,20,4.61,few clouds
23,Touros,BR,-5.20,-35.46,87.8,62,75,13.8,broken clouds
24,Kaitangata,NZ,-46.28,169.85,53.11,96,75,3.94,broken clouds
25,Upernavik,GL,72.79,-56.15,30.76,80,100,8.88,light snow
26,Rikitea,PF,-23.12,-134.97,78.42,75,8,11.25,clear sky
27,Shubarshi,KZ,48.59,57.19,51.58,51,1,10.22,clear sky
28,Castro,BR,-24.79,-50.01,79.48,39,2,7.34,clear sky
29,Atuona,PF,-9.80,-139.03,80.44,77,36,18.54,scattered clouds
30,Sioux Lookout,CA,50.10,-91.92,35.6,93,90,5.75,light intensity drizzle
31,Havre-Saint-Pierre,CA,50.23,-63.60,57.2,58,75,36.82,broken clouds
32,Jamestown,US,42.10,-79.24,66.0,59,75,12.66,broken clouds
33,Cape Town,ZA,-33.93,18.42,69.01,88,20,16.11,few clouds
34,Hermanus,ZA,-34.42,19.23,66.99,83,100,7.92,overcast clouds
35,Leningradskiy,RU,69.38,178.42,-22.23,98,56,6.73,broken clouds
36,Chuy,UY,-33.70,-53.46,64.38,81,95,23.76,overcast clouds
37,Bethel,US,41.37,-73.41,62.6,77,90,8.05,overcast clouds
38,Puerto Ayora,EC,-0.74,-90.35,80.6,74,20,11.5,few clouds
39,Kodiak,US,57.79,-152.41,39.2,93,90,16.11,light rain
40,Teofilo Otoni,BR,-17.86,-41.51,84.92,40,20,1.61,few clouds
41,Araouane,ML,18.90,-3.53,103.96,5,1,3.98,clear sky
42,Bheramara,BD,24.02,88.99,87.19,37,30,10.85,scattered clouds
43,Boa Vista,BR,2.82,-60.67,78.8,78,75,6.91,light rain
44,Yellowknife,CA,62.46,-114.35,-0.99,65,75,6.91,broken clouds
45,Teya,RU,60.38,92.63,31.03,91,100,4.43,overcast clouds
46,Georgetown,MY,5.41,100.34,82.0,89,20,3.44,few clouds
47,Hithadhoo,MV,-0.60,73.08,83.95,66,68,11.03,broken clouds
48,Huilong,CN,31.81,121.66,63.0,99,100,1.01,light rain
49,Mataura,NZ,-46.19,168.86,48.0,97,88,1.99,overcast clouds
50,Veraval,IN,20.90,70.37,80.56,71,0,13.65,clear sky
51,Kommunar,RU,59.62,30.39,48.99,36,0,4.47,light rain
52,Cockburn Town,TC,21.46,-71.14,78.8,53,40,11.5,scattered clouds
