City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Myronivka,UA,2021-04-09 17:04:14,49.6601,30.9823,42.26,53,84,3.11
1,Hidalgo,MX,2021-04-09 17:04:14,20.5,-99.0,81.43,16,2,12.12
2,Bluff,NZ,2021-04-09 17:04:15,-46.6,168.3333,46.99,88,92,1.99
3,Eureka,US,2021-04-09 17:04:15,40.8021,-124.1637,48.99,80,98,5.01
4,Ugoofaaru,MV,2021-04-09 17:04:15,5.6667,73.0,82.76,72,17,5.68
5,Hobart,AU,2021-04-09 17:04:16,-42.8794,147.3294,51.8,58,90,10.36
6,Ushuaia,AR,2021-04-09 17:02:49,-54.8,-68.3,46.4,57,40,16.11
7,Farah,AF,2021-04-09 17:04:16,32.5,62.5,73.24,11,6,4.45
8,Beloomut,RU,2021-04-09 17:04:16,54.9448,39.3394,34.0,76,9,2.3
9,Red Bluff,US,2021-04-09 17:04:17,40.1785,-122.2358,61.0,47,1,4.61
10,Hami,CN,2021-04-09 17:04:17,42.8,93.45,58.24,24,50,2.91
11,Voh,NC,2021-04-09 17:04:17,-20.9667,164.7,73.98,93,100,4.79
12,Kapaa,US,2021-04-09 17:01:34,22.0752,-159.319,66.2,82,75,3.44
13,New Norfolk,AU,2021-04-09 17:04:18,-42.7826,147.0587,51.01,65,77,1.99
14,Bathsheba,BB,2021-04-09 17:04:18,13.2167,-59.5167,86.0,54,20,16.11
15,Norman Wells,CA,2021-04-09 17:04:19,65.282,-126.8329,-7.6,71,90,21.85
16,Puerto Baquerizo Moreno,EC,2021-04-09 17:04:19,-0.9,-89.6,75.2,100,90,3.44
17,Hithadhoo,MV,2021-04-09 17:04:19,-0.6,73.0833,83.14,67,8,10.94
18,Chara,RU,2021-04-09 17:04:20,56.9064,118.2631,25.86,88,100,7.0
19,Vaini,TO,2021-04-09 17:04:20,-21.2,-175.2,73.4,88,75,4.61
20,Saskylakh,RU,2021-04-09 17:04:20,71.9167,114.0833,-22.7,100,98,4.27
21,Rikitea,PF,2021-04-09 17:04:20,-23.1203,-134.9692,77.23,70,100,9.89
22,Busselton,AU,2021-04-09 17:04:21,-33.65,115.3333,60.01,79,0,1.99
23,Fort Nelson,CA,2021-04-09 17:04:21,58.8053,-122.7002,26.6,54,40,6.91
24,Ukiah,US,2021-04-09 17:04:21,39.1502,-123.2078,53.6,58,1,3.44
25,Mozelos,PT,2021-04-09 17:04:22,41.8677,-8.3978,64.99,77,40,11.5
26,Tiksi,RU,2021-04-09 17:04:22,71.6872,128.8694,-15.38,100,100,7.05
27,Barrow,US,2021-04-09 17:04:22,71.2906,-156.7887,-16.6,69,1,10.36
28,Cidreira,BR,2021-04-09 17:04:23,-30.1811,-50.2056,80.19,59,8,10.51
29,Mahebourg,MU,2021-04-09 17:04:23,-20.4081,57.7,75.2,94,75,3.44
30,Longyearbyen,SJ,2021-04-09 17:02:33,78.2186,15.6401,32.0,69,75,17.27
31,Lebu,CL,2021-04-09 17:04:23,-37.6167,-73.65,58.35,68,100,13.91
32,Butaritari,KI,2021-04-09 17:04:24,3.0707,172.7902,82.2,77,97,17.38
33,Valparaiso,CL,2021-04-09 17:04:24,-33.0393,-71.6273,71.6,37,0,12.66
34,Kerchevskiy,RU,2021-04-09 17:04:25,59.946,56.2884,34.2,95,99,4.14
35,Manzhouli,CN,2021-04-09 17:04:25,49.6,117.4333,45.9,53,90,14.52
36,Carnarvon,AU,2021-04-09 17:04:25,-24.8667,113.6333,78.8,83,90,8.05
37,Leh,IN,2021-04-09 17:04:26,34.1667,77.5833,28.38,34,40,4.38
38,Tuatapere,NZ,2021-04-09 17:04:26,-46.1333,167.6833,46.99,88,99,1.99
39,Yellowknife,CA,2021-04-09 17:00:02,62.456,-114.3525,10.0,66,90,10.36
40,Ustrzyki Dolne,PL,2021-04-09 16:59:39,49.4304,22.5938,37.99,100,49,28.99
41,Calama,CL,2021-04-09 17:04:27,-22.4667,-68.9333,73.4,11,0,18.41
42,Kloulklubed,PW,2021-04-09 17:04:27,7.0419,134.2556,77.0,94,75,8.93
43,Castro,BR,2021-04-09 17:04:27,-24.7911,-50.0119,78.13,44,11,1.23
44,Kangaatsiaq,GL,2021-04-09 17:04:28,68.3065,-53.4641,30.83,98,100,22.03
45,Cape Town,ZA,2021-04-09 17:04:28,-33.9258,18.4232,70.0,77,0,13.8
46,Tasiilaq,GL,2021-04-09 17:04:28,65.6145,-37.6368,24.8,74,75,3.44
47,Hermiston,US,2021-04-09 17:00:38,45.8404,-119.2895,48.99,52,1,3.44
48,Bredasdorp,ZA,2021-04-09 17:04:29,-34.5322,20.0403,69.8,64,92,5.75
49,Mataura,NZ,2021-04-09 17:04:29,-46.1927,168.8643,46.99,88,100,1.99
50,Havre-Saint-Pierre,CA,2021-04-09 17:04:29,50.2334,-63.5986,51.8,37,1,11.5
51,Cabo San Lucas,MX,2021-04-09 17:03:51,22.8909,-109.9124,91.4,34,1,5.75
52,Hanyang,CN,2021-04-09 17:04:30,32.1371,105.5126,46.99,99,100,4.16
53,Saint George,US,2021-04-09 17:04:30,37.1041,-113.5841,68.0,19,1,2.42
54,Betong,TH,2021-04-09 17:04:30,5.7743,101.0723,72.09,92,36,1.9
55,Walcz,PL,2021-04-09 17:02:39,53.2779,16.4712,50.0,58,100,5.01
56,Srebrenica,BA,2021-04-09 17:04:31,44.1064,19.2969,46.4,29,0,3.44
57,Forchheim,DE,2021-04-09 17:04:31,49.7175,11.0588,57.2,28,0,11.5
58,Prieska,ZA,2021-04-09 17:04:32,-29.6641,22.7474,81.68,22,0,7.25
59,Saint-Philippe,RE,2021-04-09 17:04:32,-21.3585,55.7679,80.6,74,0,4.61
60,Togur,RU,2021-04-09 17:04:32,58.3631,82.8265,35.33,75,100,3.85
61,Karratha,AU,2021-04-09 17:04:33,-20.7377,116.8463,83.19,75,95,14.94
62,Hilo,US,2021-04-09 17:04:33,19.7297,-155.09,68.0,68,90,8.05
63,Muros,ES,2021-04-09 17:04:33,42.7762,-9.0603,63.0,87,100,5.99
